Tiempo;Carvajal19;Centro19;Kennedy19;Ferias19;PuenteA19;Tunal19;Usaquen19
01-01-2019 01:00;0.49025;0.8853;0.54205;0.40793;0.19581;0.75898;
01-01-2019 02:00;0.90988;1.05264;0.64271;0.55134;0.37873;1.03628;
01-01-2019 03:00;0.75801;1.04845;0.55955;0.54866;0.42099;1.46145;
01-01-2019 04:00;0.91459;1.11959;0.52847;0.54836;0.34614;1.38905;
01-01-2019 05:00;0.7285;1.08699;0.46232;0.44871;0.38748;1.50716;
01-01-2019 06:00;0.72738;0.97416;0.48455;0.44231;0.32793;1.39888;
01-01-2019 07:00;1.50752;0.97282;0.56774;0.43485;0.46648;1.30423;
01-01-2019 08:00;0.55882;0.7818;0.54335;0.38083;0.39492;0.64276;
01-01-2019 09:00;0.37997;0.6098;0.18183;0.3559;0.13969;0.55786;
01-01-2019 10:00;0.39668;0.58517;0.17431;0.32703;0.09087;0.55957;
01-01-2019 11:00;0.41652;0.86058;0.20206;0.3255;0.08991;0.57928;
01-01-2019 12:00;0.43913;1.13744;0.21776;0.30481;0.10685;0.61038;
01-01-2019 13:00;0.47695;1.29364;0.25968;0.296;0.09679;0.63284;
01-01-2019 14:00;0.4972;1.38234;0.3238;0.2884;0.14084;0.63135;
01-01-2019 15:00;0.52014;1.40099;0.35709;0.2812;0.14265;0.64961;
01-01-2019 16:00;0.52562;1.38432;0.36554;0.27699;0.13718;0.64955;
01-01-2019 17:00;0.6231;1.22949;0.36611;0.30074;0.14724;0.61695;
01-01-2019 18:00;0.7856;0.98431;0.41821;0.35798;0.17345;0.62551;
01-01-2019 19:00;0.84895;0.75716;0.49033;0.38115;0.1648;0.65517;
01-01-2019 20:00;0.85179;0.73345;0.46777;0.4307;0.22461;0.65426;
01-01-2019 21:00;0.7749;0.73564;0.40773;0.43732;0.20571;0.59371;
01-01-2019 22:00;0.73358;0.76688;0.37238;0.40792;0.1876;0.58221;
01-01-2019 23:00;0.72623;0.76879;0.31764;0.41214;0.19876;0.62301;
01-01-2019 ;0.54461;0.76617;0.33808;0.37607;0.13514;0.5994;
02-01-2019 01:00;0.37486;0.69761;0.26199;0.34921;0.11166;0.56905;
02-01-2019 02:00;0.3212;0.68472;0.19747;0.34603;0.09019;0.55702;
02-01-2019 03:00;0.3122;0.69013;0.19478;0.34043;0.08181;0.5507;
02-01-2019 04:00;0.35506;0.70071;0.21987;0.3316;0.12671;0.55679;
02-01-2019 05:00;0.81121;0.75455;0.36333;0.33906;0.16387;0.58745;
02-01-2019 06:00;1.65515;0.84756;0.9042;0.38028;0.27449;0.68298;
02-01-2019 07:00;1.40094;0.9282;0.77384;0.49667;0.40623;0.72663;
02-01-2019 08:00;0.98858;0.89652;0.75559;0.57316;0.3423;0.61289;
02-01-2019 09:00;0.70366;0.70582;0.40064;0.46048;0.33141;0.60082;
02-01-2019 10:00;0.65011;0.56433;0.35866;0.40474;0.22159;0.58493;
02-01-2019 11:00;0.56853;0.78396;0.33178;0.39521;0.17765;0.60047;
02-01-2019 12:00;0.54479;1.06027;0.2992;0.36838;0.16783;0.59132;
02-01-2019 13:00;0.61999;;0.35065;;0.17441;0.57654;
02-01-2019 14:00;0.62408;;0.36664;0.20345;0.18113;0.59533;
02-01-2019 15:00;0.71922;0.41818;0.36825;0.17515;0.21195;0.60698;
02-01-2019 16:00;0.81344;0.13485;0.39063;0.19807;0.19486;0.60896;
02-01-2019 17:00;0.95297;-0.0413;0.47939;0.24287;0.24259;0.6668;
02-01-2019 18:00;0.93049;;0.62154;0.37552;0.3548;0.73497;
02-01-2019 19:00;1.18089;0.28443;0.70058;0.34308;0.35893;0.85833;
02-01-2019 20:00;1.05194;0.53094;0.69923;0.28949;0.31731;0.84979;
02-01-2019 21:00;1.14648;0.47842;0.71621;0.33351;0.27074;0.77344;
02-01-2019 22:00;1.16314;0.42981;0.64245;0.27628;0.22625;0.7225;
02-01-2019 23:00;0.87415;0.4253;0.57596;0.25673;0.2855;0.72497;
02-01-2019 ;0.5216;0.54304;0.40989;0.22871;0.22207;0.67181;
