,Centro_de_Alto_Rendimiento_CO_pmm
0,0.3507
1,0.46356
2,0.57994
3,0.66161
4,0.57111
5,0.53078
6,0.53482
7,0.61891
8,0.29143
9,0.22558
10,0.16261
11,0.11373
12,0.07875
13,0.16135
14,0.24102
15,0.13817
16,0.09281
17,0.47853
18,0.42792
19,0.7549
20,0.61997
21,0.64292
22,0.57587
23,0.70499
24,0.69582
25,0.54847
26,0.37966
27,0.4525
28,0.51099
29,0.56573
30,1.10523
31,1.33754
32,1.07309
33,0.85804
34,0.8971
35,0.65007
36,0.25581
37,0.54679
38,0.41633
39,0.55956
40,0.67645
41,0.6806
42,1.23991
43,1.37359
44,1.52373
45,1.79107
46,1.6425
47,1.03608
48,0.81307
49,1.08728
50,0.94008
51,0.67971
52,0.72302
53,0.68468
54,1.59119
55,2.15552
56,1.7122
57,1.1631
58,0.57296
59,0.15349
60,0.31344
61,0.34545
62,0.46674
63,0.48129
64,0.45376
65,0.41102
66,0.54727
67,0.81777
68,1.31564
69,1.03043
70,0.87893
71,1.17545
72,1.41278
73,1.11251
74,0.86985
75,0.86064
76,0.7609
77,0.76865
78,1.46619
79,1.67949
80,2.14499
81,1.34085
82,0.9178
83,0.7152
84,0.74405
85,0.9524
86,0.72544
87,0.66286
88,0.46802
89,0.44461
90,0.67477
91,0.8514
92,0.83865
93,1.30843
94,2.0338
95,1.7817
96,1.33457
97,1.1118
98,0.92703
99,0.68374
100,0.59992
101,0.67498
102,1.19957
103,1.69877
104,0.81946
105,0.3161
106,0.33969
107,0.44367
108,
109,1.0134
110,0.66655
111,0.42316
112,0.09918
113,0.08586
114,0.0892
115,0.17398
116,0.29787
117,0.16705
118,0.10858
119,0.18157
120,0.26575
121,0.24348
122,0.58075
123,0.46426
124,0.38427
125,0.43889
126,0.58108
127,0.64621
128,0.76794
129,0.92308
130,0.77256
131,0.39792
132,0.22576
133,0.16286
134,0.30423
135,0.4787
136,0.38488
137,0.38985
138,0.54858
139,0.82314
140,0.73227
141,0.70796
