,Carvajal_Sevillana_CO_pmm
0,0.63547
1,0.873225
2,0.974585
3,1.0385550000000001
4,0.92269
5,1.102285
6,1.7984499999999999
7,0.84413
8,0.5350199999999999
9,0.5356299999999999
10,0.51551
11,0.5348550000000001
12,0.58187
13,0.700925
14,0.6738999999999999
15,0.725195
16,0.869305
17,1.0367
18,1.131985
19,1.1543999999999999
20,0.826365
21,0.7199150000000001
22,1.03948
23,0.782525
24,0.707565
25,0.53631
26,0.49627999999999994
27,0.7064349999999999
28,1.204605
29,1.99684
30,1.7285599999999999
31,1.119
32,1.011895
33,0.8616
34,0.723705
35,0.68666
36,0.710315
37,0.7686299999999999
38,0.88973
39,1.21672
40,0.96566
41,0.8445
42,0.990895
43,1.063135
44,1.755225
45,1.23663
46,1.141335
47,0.8903399999999999
48,0.73993
49,0.866015
50,0.74631
51,0.7495149999999999
52,1.0434
53,1.803385
54,2.28535
55,2.188715
56,1.76552
57,1.11937
58,0.939945
59,1.0413350000000001
60,0.94391
61,0.9866349999999999
62,0.886945
63,1.06292
64,1.134325
65,1.5828
66,2.094355
67,1.82498
68,1.57531
69,1.689575
70,1.803205
71,1.3136
72,1.12892
73,0.93232
74,1.07643
75,0.829635
76,1.100305
77,1.92068
78,2.682
79,2.028445
80,1.559245
81,1.425845
82,1.10246
83,1.179035
84,0.860955
85,0.8686750000000001
86,0.880335
87,0.712135
88,0.82789
89,0.95829
90,1.207395
91,1.20913
92,1.35601
93,1.77673
94,1.7079900000000001
95,1.41359
96,1.097635
97,0.8210900000000001
98,0.82336
99,0.957835
100,1.412795
101,2.49148
102,2.786575
103,3.211055
104,1.879245
105,1.129385
106,0.9782599999999999
107,0.899445
108,0.86087
109,0.96004
110,0.9695100000000001
111,1.08297
112,0.8808050000000001
113,0.891165
114,0.91117
115,1.40988
116,1.15629
117,0.878795
118,0.7347600000000001
119,0.580175
120,0.601445
121,0.53508
122,0.58616
123,0.54678
124,0.56526
125,0.7178950000000001
126,0.83489
127,0.8646750000000001
128,0.749105
129,1.0422099999999999
130,0.92706
131,0.6011850000000001
132,0.5811649999999999
133,0.525045
134,0.6542600000000001
135,0.78121
136,0.73034
137,0.8204800000000001
138,1.04934
139,0.945605
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,0.8983099999999999
188,0.87534
189,0.819255
190,0.71063
191,0.38996
192,0.36119
193,0.39985499999999996
194,0.619335
195,0.8259350000000001
196,1.236955
197,2.303865
198,1.259425
199,1.93821
200,1.0637
201,0.86055
202,0.49968999999999997
203,0.5631200000000001
204,
205,
206,1.14247
207,1.017395
208,0.9582550000000001
209,0.8419749999999999
210,0.8897999999999999
211,0.663065
212,0.61574
213,0.6766399999999999
214,0.8676050000000001
215,0.80091
216,0.79521
217,0.418725
218,0.47313500000000003
219,0.456585
220,0.655565
221,0.6599550000000001
222,1.86733
223,1.232125
224,0.867955
225,0.84846
226,0.670875
227,0.57864
228,0.698425
229,0.90532
230,0.87881
231,0.63904
232,0.704655
233,0.792855
234,0.8125
235,0.664515
236,0.78025
237,1.158275
238,0.658305
239,0.610895
240,0.55159
241,0.410405
242,0.304535
243,0.524825
244,0.7596700000000001
245,1.6535549999999999
246,2.3819500000000002
247,1.62663
248,1.37489
249,1.083025
250,
251,1.07172
252,0.9291750000000001
253,0.98218
254,0.93308
255,0.85593
256,0.8384149999999999
257,1.11331
258,1.42325
259,1.34649
260,1.451675
261,1.84082
262,1.4895
263,1.095605
264,0.88769
265,0.9335849999999999
266,0.755165
267,0.846325
268,1.111665
269,1.80887
270,2.082945
271,1.7111
272,1.54832
273,1.32975
274,1.303515
275,1.197635
276,0.84477
277,1.003795
278,1.049495
279,1.091975
280,1.0221500000000001
281,1.1197849999999998
282,1.5811
283,1.885215
284,1.69041
285,1.2017
286,1.101205
287,0.92514
288,0.66709
289,0.55859
290,0.713335
291,0.7345200000000001
292,0.7814749999999999
293,1.052345
294,2.3765899999999998
295,1.81758
296,1.26764
297,0.9653100000000001
298,0.8484
299,0.90484
300,0.77579
301,0.699105
302,0.880565
303,0.9322199999999999
304,0.8561000000000001
305,1.015505
306,1.068835
307,1.398015
308,1.24932
309,1.224475
310,1.26897
311,1.01635
312,0.842175
313,0.6471750000000001
314,0.42433
315,0.602795
316,0.716755
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,1.0422150000000001
327,1.289605
328,0.9273499999999999
329,0.976275
330,1.8587600000000002
331,1.5492949999999999
332,1.78152
333,2.061995
334,1.99664
335,1.759855
336,1.03991
337,1.0631599999999999
338,0.867725
339,1.086495
340,1.09917
341,1.9215049999999998
342,2.5504949999999997
343,2.09617
344,1.756575
345,1.23374
346,1.0349949999999999
347,1.04595
348,0.96923
349,1.00733
350,1.07415
351,0.97988
352,0.9865999999999999
353,1.44232
354,1.35379
355,1.448405
356,1.7250549999999998
357,1.485705
358,1.437695
359,1.1159750000000002
360,0.6167450000000001
361,0.5229699999999999
362,0.6069800000000001
363,0.76614
364,1.291545
365,2.195515
366,2.3703849999999997
367,2.200215
368,1.1717300000000002
369,1.076515
370,0.9973650000000001
371,1.0524550000000001
372,1.06866
373,1.113605
374,1.1233499999999998
375,1.13289
376,1.38531
377,1.8546799999999999
378,1.93629
379,1.873785
380,1.7462300000000002
381,1.745115
382,1.0946500000000001
383,0.96987
384,0.7936799999999999
385,0.55101
386,0.6032850000000001
387,0.6807449999999999
388,0.8330949999999999
389,1.75196
390,2.313755
391,2.103605
392,1.28803
393,1.2065700000000001
394,
395,0.970915
396,1.02296
397,0.918585
398,0.92622
399,1.13019
400,0.8590450000000001
401,1.251005
402,0.83681
403,1.1978499999999999
404,1.11378
405,1.101975
406,1.315165
407,0.87416
408,0.6381950000000001
409,0.583755
410,0.654335
411,0.92121
412,1.025855
413,1.5401150000000001
414,2.29786
415,1.6857199999999999
416,1.481735
417,1.2963550000000001
418,1.16401
419,1.086635
420,0.988625
421,1.0918649999999999
422,1.00275
423,1.069255
424,0.99013
425,1.2682250000000002
426,2.237
427,1.6049
428,2.2858
429,2.248
430,1.7731
431,1.1716
432,1.253
433,1.1252
434,1.0945
435,0.9809
436,1.9498
437,3.5168
438,2.6949
439,4.019
440,3.4191
441,1.9892
442,1.0239
443,1.1512
444,1.5217
