carvajal21,centro21,kennedy21,ferias21,puentea21,tunal21,usaquen21
0.63547,0.6388,1.2328,0.5598,3.5035,1.2289,0.5488
0.87323,0.7706,0.9761,0.552,1.1833,1.2843,0.2946
0.97459,0.8015,0.9871,0.4056,0.8723,1.2745,0.2853
1.03856,0.7919,0.919,0.4574,0.7852,0.4881,0.2569
0.92269,0.7903,0.6328,0.4506,0.491,0.3904,0.2611
1.10229,0.668,0.7455,0.1739,0.7773,0.4836,0.2748
1.79845,0.4685,1.0149,0.1596,0.9787,0.6574,0.2795
0.84413,0.4761,0.7021,0.1881,0.7191,0.4867,0.3241
0.53502,0.138,0.5653,0.1268,0.4502,0.4048,0.2638
0.53563,0.1204,0.5096,0.1251,0.2148,0.3277,0.2457
0.51551,0.1157,0.4733,0.0955,0.1988,0.3647,0.2349
0.53486,0.1247,0.4724,0.088,0.1942,0.3904,0.2378
0.58187,0.1294,0.5756,0.0835,0.1989,0.4014,0.2514
0.70093,0.1427,0.6043,0.0708,0.1996,0.4381,0.2571
0.6739,0.1525,0.6567,0.0765,0.2232,0.426,0.2604
0.7252,0.1338,0.6013,0.0712,0.2265,0.4244,0.2615
0.86931,0.1278,0.7154,0.0963,0.2296,0.4654,0.2571
1.0367,0.1963,0.7573,0.1478,0.2362,0.4988,0.2639
1.13199,0.2422,0.9786,0.2112,0.6277,0.501,0.2762
1.1544,0.2364,0.8852,0.2922,0.4503,0.447,0.2666
0.82637,0.1963,0.7188,0.2554,0.4545,0.4245,0.2715
0.71992,0.219,0.6288,0.2523,0.3858,0.4584,0.2642
1.03948,0.3106,0.6144,0.2199,0.3438,0.3854,0.2701
0.78253,0.3124,0.519,0.1964,0.2648,0.3732,0.2641
0.70757,0.2921,0.517,0.1826,0.2363,0.3422,0.2589
0.53631,0.1894,0.5548,0.1823,0.2439,0.3198,0.2641
0.49628,0.1713,0.5851,0.1668,0.3364,0.3229,0.2757
0.70644,0.2605,0.5581,0.199,0.397,0.5189,0.267
1.20461,0.262,0.5962,0.3277,0.6546,0.5363,0.2742
1.99684,0.2747,0.7478,0.3763,1.4638,0.9491,0.3481
1.72856,0.6943,0.7636,0.7221,1.4562,1.0617,0.6324
1.119,0.7669,1.0503,0.575,1.3513,1.2038,0.5033
1.0119,0.4882,1.0129,0.2413,1.0651,0.6457,0.3411
0.8616,0.213,0.7725,0.1831,1.3956,0.4103,0.3041
0.72371,0.2452,0.6948,0.2445,0.4037,0.4369,0.3487
0.68666,0.233,0.7268,0.3031,0.3508,0.4479,0.3507
0.71032,0.2339,0.6351,0.2981,0.3626,0.4684,0.3042
0.76863,0.237,0.7035,0.2453,0.3844,0.4455,0.2999
0.88973,0.2012,0.6603,0.2113,0.3794,0.4359,0.3048
1.21672,0.2043,0.774,0.193,0.4679,0.4466,0.3128
0.96566,0.2396,0.7203,0.2418,0.7419,0.4539,0.3405
0.8445,0.5087,0.8716,0.6046,0.6949,0.4387,0.4658
0.9909,0.6426,1.1021,0.5721,1.7919,0.5443,0.4864
1.06314,0.8651,1.2788,0.3304,1.0397,0.5691,0.5
1.75523,0.6626,1.33,0.3351,1.0273,0.5289,0.4081
1.23663,0.6994,1.261,0.3794,2.4459,0.5127,0.5119
1.14134,0.5591,1.1035,0.2836,1.4695,0.4794,0.3205
0.89034,0.8338,0.7681,0.3114,1.3096,0.424,0.2987
0.73993,0.9298,0.6145,0.4683,0.6663,0.365,0.2858
0.86602,0.8217,0.5331,0.1624,0.8608,0.3414,0.2779
0.74631,0.6692,0.5902,0.1857,0.8893,0.3208,0.2761
0.74952,0.5529,0.5233,0.1517,0.8233,0.319,0.2731
1.0434,0.3207,0.6398,0.1516,1.2944,0.355,0.2658
1.80339,0.3631,0.7138,0.3043,2.2148,0.4958,0.2897
2.28535,0.5061,0.797,0.2627,1.5024,0.5065,0.3027
2.18872,0.4975,1.1186,0.538,1.0278,0.5879,0.4134
1.76552,0.4347,0.7529,0.5052,0.5751,0.5781,0.2986
1.11937,0.423,0.684,0.2961,0.5511,0.6724,0.3922
0.93995,0.3336,0.6185,0.2479,0.4845,0.5914,0.3833
1.04134,0.2194,0.4935,0.1857,0.3599,0.6576,0.3774
0.94391,0.2231,0.5652,0.2127,0.3176,0.6046,0.4286
0.98664,0.2175,0.6326,0.224,0.3092,0.5746,0.3852
0.88695,0.2223,0.5311,0.1866,0.3029,0.5608,0.3536
1.06292,0.2114,0.5516,0.2002,0.3471,0.5593,0.3736
1.13433,0.2196,0.5647,0.236,0.3814,0.6133,0.3696
1.5828,0.2477,0.6185,0.3252,0.4428,0.6926,0.4134
2.09436,0.3354,0.6724,0.3437,0.499,0.695,0.4552
1.82498,0.2668,0.6516,0.3879,0.4795,0.6271,0.5218
1.57531,0.2616,0.6289,0.3847,0.4285,0.6053,0.4754
1.68958,0.2657,0.6785,0.4472,0.4296,0.5853,0.4827
1.80321,0.312,0.6445,0.4282,0.4252,0.5852,0.4778
1.3136,0.2611,0.7723,0.3527,0.3874,0.55,0.4422
1.12892,0.3485,0.8907,0.3898,0.3746,0.5331,0.3034
0.93232,0.3299,0.9527,0.3892,0.4093,0.3685,0.3323
1.07643,0.2808,0.7781,0.5366,0.318,0.327,0.3435
0.82964,0.322,0.7941,0.4492,0.365,0.3567,0.3305
1.10031,0.3055,0.8975,0.6064,0.4107,0.4109,0.4121
1.92068,0.6282,0.9553,0.721,0.7898,0.4952,0.5514
2.682,0.8585,1.3253,0.7651,1.367,0.9378,0.7962
2.02845,0.5821,1.7598,0.6332,1.0455,1.5462,0.9258
1.55925,0.5118,1.5965,0.7448,2.8863,1.4639,0.7529
1.42585,0.6108,0.7857,0.65953,1.1562,1.3078,0.5871
1.10246,0.3869,0.5624,0.4333,0.9329,0.8625,0.5506
