,Las_Ferias_CO_pmm
0,0.5598
1,0.552
2,0.4056
3,0.4574
4,0.4506
5,0.1739
6,0.1596
7,0.1881
8,0.1268
9,0.1251
10,0.0955
11,0.088
12,0.0835
13,0.0708
14,0.0765
15,0.0712
16,0.0963
17,0.1478
18,0.2112
19,0.2922
20,0.2554
21,0.2523
22,0.2199
23,0.1964
24,0.1826
25,0.1823
26,0.1668
27,0.199
28,0.3277
29,0.3763
30,0.7221
31,0.575
32,0.2413
33,0.1831
34,0.2445
35,0.3031
36,0.2981
37,0.2453
38,0.2113
39,0.193
40,0.2418
41,0.6046
42,0.5721
43,0.3304
44,0.3351
45,0.3794
46,0.2836
47,0.3114
48,0.4683
49,0.1624
50,0.1857
51,0.1517
52,0.1516
53,0.3043
54,0.2627
55,0.538
56,0.5052
57,0.2961
58,0.2479
59,0.1857
60,0.2127
61,0.224
62,0.1866
63,0.2002
64,0.236
65,0.3252
66,0.3437
67,0.3879
68,0.3847
69,0.4472
70,0.4282
71,0.3527
72,0.3898
73,0.3892
74,0.5366
75,0.4492
76,0.6064
77,0.721
78,0.7651
79,0.6332
80,0.7448
81,0.65953
82,0.4333
83,0.3151
84,0.2307
85,0.1557
86,0.2258
87,0.2289
88,0.3427
89,0.488
90,0.4964
91,0.5458
92,0.5281
93,0.517
94,0.5415
95,0.3868
96,0.4393
97,0.3029
98,0.3714
99,0.4654
100,0.6173
101,0.9001
102,1.0651
103,0.7687
104,0.4362
105,0.3768
106,0.3655
107,0.2763
108,0.2887
109,0.3437
110,0.3701
111,0.3487
112,0.358
113,0.221
114,0.3075
115,0.7367
116,0.7586
117,0.7406
118,0.6625
119,0.4041
120,0.3515
121,0.3818
122,0.448
123,0.4622
124,0.43
125,0.5745
126,0.9797
127,0.8479
128,0.4836
129,0.2855
130,0.2549
131,0.1479
132,0.2052
133,0.2058
134,0.4632
135,0.4289
136,0.4912
137,0.6538
138,0.905
139,0.9758
140,0.7756
141,0.519
142,0.4595
143,0.4332
144,0.482
145,0.4657
146,0.2233
147,0.1752
148,0.159
149,0.2562
150,0.4907
151,0.5722
152,0.4308
153,0.2478
154,0.2379
155,0.2196
156,0.1508
157,0.1361
158,0.1093
159,0.0882
160,0.1593
161,0.1828
162,0.3139
163,0.6223
164,0.4656
165,0.3066
166,0.2563
167,0.1744
168,0.2533
169,0.219
170,0.1897
171,0.1786
172,0.237
173,0.3156
174,0.825
175,0.505
176,0.3731
177,0.2769
178,0.1542
179,0.1258
180,0.139
181,0.2178
182,0.3686
183,0.4772
184,0.484
185,0.2584
186,0.1656
187,0.201
188,0.1575
189,0.137
190,0.1133
191,0.0779
192,0.0743
193,0.0843
194,0.0622
195,0.0765
196,0.1016
197,0.141
198,0.3615
199,0.4246
200,0.2947
201,0.1712
202,0.1925
203,0.1989
204,0.1967
205,0.1287
206,0.115
207,0.1327
208,0.0869
209,0.1296
210,0.1285
211,0.1327
212,0.1659
213,0.1312
214,0.1005
215,0.0523
216,0.0607
217,0.0475
218,0.0882
219,0.0717
220,0.0422
221,0.0673
222,0.1649
223,0.138
224,0.0927
225,0.1259
226,0.1217
227,0.0704
228,0.0808
229,0.0729
230,0.0573
231,0.0535
232,0.0379
233,0.0621
234,0.0849
235,0.0885
236,0.127
237,0.0764
238,0.0874
239,0.0953
240,0.0734
241,0.0322
242,0.0306
243,0.0402
244,0.0313
245,0.0741
246,0.1185
247,0.1078
248,0.1135
249,0.111
250,0.1125
251,0.1094
252,0.1211
253,0.0953
254,0.1067
255,0.0813
256,0.0889
257,0.1699
258,0.1379
259,0.1261
260,0.0832
261,0.1735
262,0.0876
263,0.0793
264,0.0474
265,0.0523
266,0.054
267,0.0741
268,0.082
269,0.1575
270,0.4693
271,0.1852
272,0.1819
273,0.1798
274,0.1391
275,0.1259
276,0.1183
277,0.1087
278,0.071
279,0.0398
280,0.0706
281,0.093
282,0.2408
283,0.256
284,0.2937
285,0.2489
286,0.2618
287,0.2515
288,0.2144
289,0.2791
290,0.248
291,0.2172
292,0.2391
293,0.3283
294,0.5182
295,0.6397
296,0.5782
297,0.3965
298,0.2663
299,
300,0.0
301,0.0337
302,0.0665
303,0.3876
304,0.4999
305,0.5561
306,0.6366
307,0.6971
308,0.651
309,0.5384
310,0.4517
311,0.44
312,0.4232
313,0.3369
314,0.2809
315,0.2702
316,0.3388
317,0.5144
318,1.0663
319,1.0275
320,0.6987
321,0.4994
322,0.3136
323,0.2952
324,0.2398
325,0.4276
326,0.4905
327,0.4826
328,0.5281
329,0.6475
330,0.8326
331,0.7672
332,0.8687
333,0.7321
334,0.6085
335,0.6376
336,0.5299
337,0.4402
338,0.4354
339,0.4479
340,0.5491
341,1.079
342,1.5087
343,0.9518
344,0.7549
345,0.6164
346,0.5087
347,0.3734
348,0.3369
349,0.4217
350,0.4171
351,0.4809
352,0.4861
353,0.7236
354,0.7426
355,0.7863
356,0.7197
357,0.728
358,0.6844
359,0.5759
360,0.6481
361,0.542
362,0.5332
363,0.5011
364,0.5515
365,0.5246
366,0.9814
367,1.1886
368,0.6552
369,0.3501
370,0.3559
371,0.2909
372,0.2692
373,0.3379
374,0.3315
375,0.3151
376,0.3149
377,0.3669
378,0.5135
379,0.4594
380,0.39
381,0.4485
382,0.5038
383,0.458
384,0.3914
385,0.3903
386,0.3764
387,0.3712
388,0.3235
389,0.4078
390,0.5586
391,0.5661
392,0.4053
393,0.2646
394,0.2308
395,0.1825
396,0.1751
397,0.2154
398,0.1899
399,0.1947
400,0.251
401,0.3493
402,0.4646
403,0.6204
404,0.6772
405,0.563
406,0.608
407,0.5433
408,0.5316
409,0.4382
410,0.464
411,0.3817
412,0.4386
413,0.8838
414,1.2643
415,1.0452
416,0.6974
417,0.4863
418,0.3204
419,0.2976
420,0.2332
421,0.2173
422,0.3001
423,0.5079
424,0.5589
425,0.6802
426,0.9073
427,0.8881
428,0.84
429,0.8535
430,0.7652
431,0.586
432,0.6874
433,0.5093
434,0.4505
435,0.4732
436,0.4358
437,0.5966
438,0.751
439,1.0586
440,0.8945
441,0.6381
442,0.396
443,0.3239
444,0.2263
445,0.2404
446,0.4795
447,0.5848
448,0.6561
449,0.8366
450,0.9491
451,1.0406
452,0.8278
453,0.8493
454,0.6568
455,0.8655
456,0.5704
457,0.4666
458,0.415
459,0.3849
460,0.5111
461,0.6935
462,0.7492
463,1.2614
464,1.0537
465,0.7269
466,0.6651
467,0.4216
468,0.3163
469,0.285
470,0.2911
471,0.2635
472,0.2677
473,0.4158
474,0.6083
475,0.7846
476,0.9151
477,0.5426
478,0.5607
479,0.5965
480,0.4143
481,0.3685
482,0.4094
483,0.3582
484,0.419
485,0.5509
486,1.1992
487,1.1512
488,1.0125
489,0.5788
490,0.4032
491,0.3284
492,0.2186
493,0.1831
494,0.2372
495,0.4504
496,0.4583
497,0.7308
498,0.8538
499,0.9491
500,0.8015
501,0.6585
502,0.5526
503,0.4511
504,0.3802
505,0.3196
506,0.2417
507,0.2093
508,0.2547
509,0.4731
510,0.6669
511,0.8576
512,0.7779
513,0.5551
514,0.5392
515,0.3823
516,0.3847
517,0.2437
518,0.3007
519,0.2655
520,0.2977
521,0.5035
522,0.6738
523,0.7902
524,0.6453
525,0.3119
526,0.2927
527,0.3217
528,0.2644
529,0.2611
530,0.2788
531,0.2486
532,0.2527
533,0.3193
534,0.6964
535,0.602
536,0.4243
537,0.412
538,0.3025
539,0.3406
540,0.3224
541,0.3965
542,0.3542
543,0.2998
544,0.3098
545,0.3324
546,0.4208
547,0.6582
548,0.9324
549,1.0997
550,0.7974
551,0.4146
552,0.4068
553,0.2911
554,0.2876
555,0.2577
556,0.2696
557,0.3034
558,0.3632
559,0.3324
560,0.3103
561,0.2597
562,0.2683
563,0.2606
564,0.2628
565,0.2836
566,0.3408
567,0.3309
568,0.345
569,0.3677
570,0.5075
571,0.6489
572,0.3522
573,0.2988
574,0.43
575,0.3357
576,0.3017
577,0.3024
578,0.2871
579,0.2901
580,0.3044
581,0.4551
582,0.5685
583,0.6914
584,0.6337
585,0.6572
586,0.5308
587,0.6347
588,0.5603
589,0.3019
590,0.3033
591,0.2762
592,0.3888
593,0.4569
594,0.6246
595,0.6071
596,0.403
597,0.363
598,0.2867
599,0.2876
600,0.346
601,0.2959
602,0.3267
603,0.3874
604,0.3613
605,0.6622
606,0.9845
607,0.823
608,0.7939
609,0.591
610,0.4997
611,0.2501
612,0.3477
613,0.2698
614,0.2285
615,0.2102
616,0.3083
617,0.4137
618,0.5777
619,0.3512
620,0.4257
621,0.2751
622,0.2661
623,0.2761
624,0.2917
625,0.2644
626,0.2889
627,0.2963
628,0.2799
629,0.4601
630,0.8631
631,0.8059
632,0.9355
633,0.7798
634,0.7602
635,0.509305
636,0.3189
637,0.3008
638,0.3233
639,0.2936
640,0.3825
641,0.4432
642,0.7883
643,0.9508
644,1.039
645,0.9484
646,0.7468
647,0.5842
648,0.4531
649,0.3871
650,0.4132
651,0.4236
652,0.4597
653,0.7651
654,1.7178
655,1.5752
656,1.4595
657,0.9919
658,0.7313
659,0.5485
660,0.4024
661,0.705765
662,0.92981
663,0.85229
664,0.6382
665,0.7823
666,0.8648
667,0.8844
668,0.7966
669,0.9674
670,0.6647
671,0.6131
672,0.5593
673,0.5361
674,0.449
675,0.3896
676,0.4051
677,0.7019
678,1.0046
679,1.3388
680,1.0804
681,0.6039
682,0.4367
683,0.3531
684,0.54911
685,0.479615
686,0.647995
687,0.5793550000000001
688,
689,1.09314
690,1.3519
691,0.6008
692,0.4795
693,0.4085
694,0.4269
695,0.6438
696,0.426
697,0.3773
698,0.3459
699,0.3004
700,0.3491
701,0.4332
702,0.6405
703,0.6445
704,0.7368
705,0.6374
706,0.5468
707,0.3006
708,
709,
710,0.6434500000000001
711,0.7439
712,0.1968
713,0.1823
714,0.2374
715,0.4538
716,0.3975
717,0.428
718,0.5119
719,0.5215
720,0.4329
721,0.3881
722,0.4175
723,0.3748
724,0.3692
725,0.3629
726,0.4394
727,0.3563
728,0.3032
729,0.2858
730,0.2463
731,0.2418
732,0.2087
733,0.1834
734,0.2124
735,0.2021
736,0.2144
737,0.2841
738,0.3091
739,0.3842
740,0.3525
741,0.2841
742,0.3424
