,Carvajal_Sevillana_CO_pmm
0,0.49025
1,0.90988
2,0.75801
3,0.91459
4,0.7285
5,0.72738
6,1.50752
7,0.55882
8,0.37997
9,0.39668
10,0.41652
11,0.43913
12,0.47695
13,0.4972
14,0.52014
15,0.52562
16,0.6231
17,0.7856
18,0.84895
19,0.85179
20,0.7749
21,0.73358
22,0.72623
23,0.54461
24,0.37486
25,0.3212
26,0.3122
27,0.35506
28,0.81121
29,1.65515
30,1.40094
31,0.98858
32,0.70366
33,0.65011
34,0.56853
35,0.54479
36,0.61999
37,0.62408
38,0.71922
39,0.81344
40,0.95297
41,0.93049
42,1.18089
43,1.05194
44,1.14648
45,1.16314
46,0.87415
47,0.5216
48,0.58845
49,0.78369
50,0.49751
51,0.44403
52,0.69255
53,1.25337
54,1.48883
55,1.56132
56,1.20289
57,0.98096
58,0.92905
59,0.89194
60,0.89044
61,0.94139
62,0.79416
63,0.91836
64,1.02339
65,1.50219
66,1.93014
67,1.66724
68,1.34331
69,1.64885
70,1.32004
71,1.46499
72,1.45746
73,0.77328
74,0.97364
75,0.75622
76,0.88402
77,0.94123
78,2.31634
79,1.52344
80,1.13008
81,1.31092
82,1.06864
83,0.97723
84,0.73931
85,0.7185
86,0.84861
87,0.90794
88,1.10974
89,1.27714
90,1.76667
91,1.62023
92,1.58029
93,1.31452
94,1.61688
95,1.51971
96,1.32929
97,0.99187
98,0.90047
99,0.91854
100,1.25945
101,2.34944
102,2.64947
103,3.27975
104,2.1842
105,1.60189
106,0.90975
107,0.99053
108,0.85484
109,0.92834
110,0.8457
111,1.11851
112,0.56745
113,0.64267
114,0.73275
115,1.70922
116,1.3997
117,1.16185
118,0.99448
119,0.71301
120,0.81792
121,0.69411
122,0.78596
123,0.66584
124,0.5859
125,0.98562
126,1.17489
127,1.1282
128,0.73119
129,0.56467
130,0.47311
131,0.57591
132,0.59476
133,0.70926
134,0.62587
135,0.66188
136,0.65779
137,0.54113
138,0.76042
139,0.93693
140,1.06004
141,0.984
142,1.20392
143,0.83849
144,0.71173
145,0.54932
146,0.41961
147,0.48794
148,0.91611
149,1.08512
150,1.57803
151,1.35893
152,0.79102
153,1.06122
154,0.74904
155,0.41647
156,0.33014
157,0.5283
158,0.71561
159,0.60576
160,0.69919
161,0.67506
162,0.62453
163,0.95909
164,0.57438
165,0.62502
166,0.59092
167,0.34318
168,0.34705
169,0.3338
170,0.36161
171,0.60072
172,0.73056
173,0.97407
174,2.832
175,3.34817
176,1.47644
177,0.9664
178,0.63882
179,0.40315
180,0.49627
181,0.77181
182,0.69611
183,0.64147
184,0.57513
185,0.84999
186,0.78639
187,0.44692
188,0.40786
189,0.39073
190,0.45435
191,0.35273
192,0.39047
193,0.46091
194,0.70225
195,0.92825
196,1.45035
197,2.45474
198,1.20219
199,1.80978
200,0.99063
201,0.53942
202,0.37127
203,0.43769
204,
205,
206,0.67488
207,0.90425
208,1.00645
209,0.63789
210,1.01439
211,0.7658
212,0.65229
213,0.69314
214,0.5642
215,0.44819
216,0.43004
217,0.40512
218,0.43752
219,0.44718
220,0.33411
221,0.36975
222,0.52138
223,0.58949
224,0.46528
225,0.44625
226,0.43598
227,0.35496
228,0.46178
229,0.74861
230,0.85205
231,0.6806
232,0.82098
233,0.97866
234,0.57818
235,0.51336
236,0.47553
237,0.46842
238,0.39484
239,0.35992
240,0.45342
241,0.33738
242,0.31903
243,0.38289
244,0.34755
245,0.55067
246,1.87654
247,1.41027
248,1.41102
249,0.95107
250,0.76356
251,0.97009
252,0.80459
253,0.7526
254,0.62077
255,0.64052
256,0.51707
257,0.79338
258,1.1271
259,0.9349
260,1.25112
261,2.22044
262,1.47439
263,1.21405
264,1.19915
265,1.33018
266,0.82329
267,0.81475
268,1.04465
269,1.29392
270,1.94936
271,1.70305
272,1.7698
273,1.72088
274,1.32693
275,1.16729
276,0.95734
277,0.97553
278,0.75641
279,0.82227
280,0.83374
281,1.09594
282,1.36344
283,1.42396
284,1.58853
285,1.46426
286,1.42635
287,1.09167
288,0.81635
289,0.63273
290,0.53602
291,0.55443
292,0.69355
293,1.3283
294,1.31198
295,0.89222
296,0.79479
297,0.68844
298,0.59917
299,0.5018
300,0.74299
301,0.80085
302,0.81474
303,0.73244
304,0.70768
305,0.77047
306,0.7793
307,1.33698
308,1.15169
309,1.01436
310,1.34098
311,1.10112
312,0.78484
313,0.69913
314,0.4528
315,0.49948
316,0.85641
317,1.69578
318,2.40369
319,1.77391
320,1.16872
321,1.01183
322,0.99593
323,0.95867
324,0.62305
325,0.74401
326,1.1649
327,1.15336
328,1.19759
329,1.31915
330,1.73703
331,1.05102
332,1.58915
333,1.41917
334,1.26009
335,0.9627
336,0.65608
337,0.46605
338,0.41726
339,0.52007
340,0.70731
341,1.71152
342,2.28659
343,1.45627
344,1.63669
345,1.25703
346,1.06819
347,0.87021
348,0.91995
349,0.84677
350,1.08295
351,0.85998
352,0.94504
353,1.55417
354,1.60286
355,1.37068
356,1.37218
357,1.36667
358,1.21847
359,0.99597
360,0.58479
361,0.52726
362,0.58626
363,0.55129
364,1.15889
365,2.25941
366,2.24551
367,1.9519
368,1.06441
369,1.06277
370,1.13304
371,0.85873
372,0.81749
373,0.96056
374,1.05091
375,0.81829
376,1.2072
377,1.66797
378,1.92589
379,1.75601
380,1.61742
381,1.86062
382,1.28143
383,1.00398
384,0.72189
385,0.55727
386,0.66139
387,0.76672
388,0.85756
389,1.69323
390,2.16326
391,2.1961
392,1.29744
393,1.12393
394,0.89203
395,0.65529
396,0.83261
397,0.83783
398,0.7386
399,0.99154
400,0.8578
401,1.27138
402,0.71155
403,1.54103
404,1.43562
405,1.13958
406,1.2809
407,0.76859
408,0.56218
409,0.51387
410,0.52716
411,0.89948
412,0.88187
413,1.70844
414,2.37089
415,1.50391
416,1.35932
417,1.19354
418,1.07592
419,1.07193
420,1.03134
421,0.94927
422,1.05495
423,0.99537
424,1.0267
425,1.44951
426,1.73225
427,1.87652
428,1.78417
429,1.51579
430,1.49496
431,1.48943
432,0.891
433,0.85725
434,0.67842
435,0.81104
436,0.97261
437,1.61886
438,2.08989
439,2.24472
440,1.57593
441,1.52709
442,1.36104
443,1.31722
444,1.24697
445,1.15967
446,0.98697
447,1.27652
448,1.13024
449,1.4208
450,1.51453
451,1.49182
452,1.44055
453,1.50613
454,1.39905
455,1.05895
456,0.82144
457,0.64827
458,0.57349
459,0.55201
460,0.54227
461,0.59579
462,0.98667
463,1.00259
464,0.658
465,0.68367
466,0.71543
467,0.95179
468,0.95291
469,0.98715
470,0.97295
471,0.91291
472,0.92596
473,1.13535
474,1.26657
475,1.56254
476,1.83623
477,1.15004
478,1.55457
479,0.95351
480,0.63515
481,0.5095
482,0.76483
483,1.05852
484,1.15663
485,1.15768
486,1.81206
487,2.68167
488,2.88969
489,1.42006
490,1.10981
491,0.90015
492,1.01563
493,1.11089
494,1.07182
495,1.16181
496,1.30625
497,1.68135
498,1.85709
499,2.39111
500,2.49135
501,1.5327
502,1.19294
503,0.81734
504,0.57923
505,0.5434
506,0.53179
507,0.63219
508,1.09111
509,1.02869
510,2.03675
511,2.34
512,1.68598
513,1.3361
514,1.07613
515,1.07286
516,1.07611
517,1.0026
518,0.9474
519,0.98608
520,1.11857
521,1.70835
522,1.74169
523,1.62033
524,1.6055
525,1.45802
526,1.26627
527,0.87468
528,0.5626
529,0.46899
530,0.48657
531,0.49473
532,0.89344
533,1.54125
534,2.03546
535,1.93689
536,1.4517
537,1.22958
538,1.09324
539,0.98994
540,0.92954
541,1.0424
542,1.19209
543,1.07972
544,1.2434
545,1.54409
546,1.75741
547,1.81827
548,1.52208
549,1.45546
550,1.08981
551,0.7267
552,0.54203
553,0.44378
554,0.47853
555,0.61968
556,0.86306
557,1.72495
558,1.76025
559,1.78601
560,1.30494
561,1.10055
562,0.86714
563,0.86043
564,0.88793
565,0.90629
566,1.27877
567,1.1847
568,1.15249
569,1.45305
570,1.72933
571,1.80733
572,1.76851
573,1.58569
574,1.5916
575,0.96568
576,0.61986
577,0.61154
578,0.65983
579,0.65486
580,0.97289
581,2.07137
582,2.55487
583,2.16774
584,1.41266
585,0.98589
586,0.98987
587,1.331755
588,1.22497
589,0.44264
590,1.13019
591,0.91373
592,0.87177
593,1.20167
594,1.82143
595,1.80604
596,1.63135
597,2.08537
598,1.36021
599,1.05116
600,1.03334
601,0.86615
602,0.66862
603,0.90295
604,1.18037
605,2.42426
606,2.3964
607,2.43548
608,2.47212
609,1.02166
610,1.24953
611,1.03067
612,0.76666
613,1.12647
614,0.97195
615,1.08676
616,1.19433
617,1.0197
618,1.50738
619,1.25326
620,1.49396
621,1.43051
622,1.29621
623,1.07591
624,0.85491
625,0.84878
626,0.76558
627,0.85479
628,0.88599
629,1.4652
630,1.27934
631,1.04229
632,1.08265
633,0.81298
634,0.64545
635,0.9256
636,0.83777
637,0.79961
638,0.63933
639,0.7342
640,0.69225
641,0.87095
642,0.89381
643,0.89216
644,1.37709
645,1.4008
646,1.19122
647,0.94005
648,0.98795
649,0.61742
650,0.54367
651,0.8138
652,0.99102
653,1.30323
654,3.54565
655,2.90022
656,2.55717
657,0.8695
658,0.71957
659,1.00074
660,0.88714
661,1.32425
662,1.11427
663,1.32637
664,0.92299
665,1.7512
666,0.97512
667,1.04615
668,2.30206
669,2.49208
670,1.78155
671,1.14506
672,0.44531
673,0.53096
674,0.6761
675,0.76428
676,1.06446
677,2.00573
678,2.4526
679,2.18247
680,1.53112
681,1.41105
682,0.89567
683,0.85629
684,1.03934
685,1.06574
686,0.80526
687,0.77386
688,0.97203
689,1.52141
690,1.99087
691,2.32691
692,3.3736
693,3.04088
694,2.22894
695,1.84461
696,1.48717
697,1.06211
698,1.08765
699,1.50324
700,1.47483
701,2.8071
702,3.05538
703,2.63989
704,2.39439
705,1.76842
706,1.35222
707,1.25178
708,1.00027
709,0.87084
710,0.88951
711,0.76196
712,0.75537
713,0.8096
714,1.05737
715,0.92921
716,0.89416
717,1.15023
718,1.38969
719,1.61443
720,0.94207
721,0.85174
722,1.24295
723,1.06232
724,1.44176
725,2.34105
726,3.16292
727,3.26221
728,1.52523
729,1.17678
730,0.99623
731,1.16665
732,0.9700500000000001
733,1.0701450000000001
734,0.73637
735,0.16355
736,0.17832
737,0.39118
738,0.48367
739,0.82844
740,1.26346
741,1.48889
742,1.69252
743,0.95814
744,0.58179
745,0.94991
746,0.55979
747,0.63493
748,1.50063
749,1.55127
750,2.03623
751,1.71733
752,1.56254
753,1.04162
754,1.04369
755,0.7209
756,0.83415
757,0.90143
758,0.56369
759,0.53224
760,0.67132
761,0.66433
762,0.73007
763,1.69208
764,1.72174
765,0.66003
766,0.51853
767,0.66876
768,1.04245
769,0.64482
770,0.60899
771,1.3985
772,1.53316
773,2.84194
774,3.42857
775,2.79287
776,1.66946
777,0.81922
778,0.59918
779,0.45008
780,0.55227
781,0.66519
782,0.61738
783,0.45235
784,0.51422
785,0.44291
786,0.68225
787,1.12342
788,1.85673
789,1.9204
790,1.90184
791,1.8056
792,1.16374
793,1.44391
794,1.43433
795,1.37945
796,1.32533
797,1.31783
798,1.78073
799,1.45489
800,1.06493
801,0.25717
802,0.46288
803,0.71003
804,0.61925
805,0.79972
806,0.78526
807,0.79382
808,0.78461
809,0.74805
810,0.99842
811,0.87418
812,1.45997
813,1.27099
814,0.76911
815,0.45706
816,0.2619
817,0.20956
818,0.26737
819,0.4729
820,0.65925
821,0.80277
822,1.8669
823,2.41878
824,1.94303
825,1.44453
826,0.75795
827,0.74223
828,0.48354
829,0.51723
830,0.52565
831,0.37329
832,0.72934
833,0.78299
834,0.48734
835,1.14555
836,1.63594
837,1.71541
838,1.84433
839,0.78476
840,0.59295
841,0.56541
842,0.37951
843,0.76265
844,1.14202
845,1.26278
846,1.74713
847,2.26651
848,2.23078
849,1.42747
850,0.98515
851,0.75218
852,0.97153
853,0.94846
854,0.62774
855,0.70512
856,0.70707
857,0.98939
858,1.43379
859,1.50671
860,1.83161
861,2.02095
862,2.29904
863,0.77705
864,0.6208
865,0.25144
866,0.35316
867,1.20925
868,1.94513
869,2.51347
870,3.31847
871,2.47346
872,1.48411
873,1.04572
874,1.14924
875,1.01638
876,0.96924
877,0.97457
878,1.09853
879,0.65654
880,1.07719
881,1.61211
882,1.6792
883,1.00705
884,0.54824
885,0.74571
886,1.62573
887,1.38049
888,0.97902
889,0.712
890,0.36859
891,0.97795
892,1.84156
893,1.86057
894,1.39523
895,1.41881
896,1.03959
897,0.53559
898,0.5788
899,1.00386
900,0.97681
901,1.075495
902,0.48298
903,0.51443
904,0.3509
905,0.44538
906,0.71947
907,0.63333
908,0.91239
909,1.22525
910,1.25783
911,1.44613
912,0.52811
913,0.37049
914,0.31077
915,0.68972
916,0.38957
917,0.93717
918,2.71039
919,1.89691
920,1.12651
921,1.06973
922,1.15278
923,0.79804
924,0.89589
925,0.65368
926,0.7817
927,0.45342
928,0.57397
929,0.33929
930,0.64171
931,1.28396
932,1.40999
933,1.37164
934,1.5153
935,1.0861
936,0.73909
937,0.53263
938,0.38321
939,0.53527
940,0.8952
941,1.46926
942,2.19744
943,1.87517
944,1.55234
945,1.18138
946,0.8899
947,0.92103
948,0.6884
949,0.70359
950,0.66611
951,0.70187
952,0.76279
953,0.65673
954,1.28946
955,1.50094
956,1.54697
957,1.26912
958,1.28443
959,0.82506
960,0.53026
961,0.59491
962,0.53605
963,0.62329
964,0.57095
965,0.88763
966,1.55043
967,1.61903
968,1.41714
969,0.54092
970,0.34399
971,0.39754
972,0.51291
973,0.61334
974,0.58858
975,0.48569
976,0.33265
977,0.46419
978,0.52767
979,0.92438
980,1.24283
981,1.34718
982,0.93802
983,0.69307
984,0.55712
985,0.66107
986,0.44076
987,0.4543
988,1.07355
989,1.80307
990,1.99852
991,2.98376
992,0.98888
993,0.78599
994,0.74726
995,0.67167
996,0.60731
997,0.47138
998,0.70837
999,0.79362
1000,0.82597
1001,1.16749
1002,1.06385
1003,1.1378
1004,1.23464
1005,1.15473
1006,1.24317
1007,0.62775
1008,0.4254
1009,0.34797
1010,0.3338
1011,0.39103
1012,0.91749
1013,2.31757
1014,2.6254
1015,2.36727
1016,2.28717
1017,1.55141
1018,0.86931
1019,0.68695
1020,0.63338
1021,0.81056
1022,0.71052
1023,0.65031
1024,0.68442
1025,1.54639
1026,1.50498
1027,1.50915
1028,1.19586
1029,1.16524
1030,1.06729
1031,0.4507
1032,0.30228
1033,0.36424
1034,0.40752
1035,0.52131
1036,1.10273
1037,2.04973
1038,2.75175
1039,1.74291
1040,0.88424
1041,0.81011
1042,0.63445
1043,0.42138
1044,0.46442
1045,0.536
1046,0.72533
1047,0.5354
1048,0.73932
1049,0.89469
1050,1.71154
1051,1.54781
1052,1.29886
1053,1.57658
1054,1.10412
1055,0.54096
1056,0.47015
1057,0.23702
1058,0.9445
1059,1.18688
1060,1.18915
1061,2.44645
1062,3.48129
1063,2.92406
1064,1.11677
1065,0.90391
1066,0.91725
1067,0.60738
1068,0.59715
1069,0.57733
1070,0.54069
1071,0.48882
1072,0.42866
1073,0.52432
1074,0.61979
1075,0.96484
1076,1.33215
1077,1.30172
1078,1.31046
1079,0.83355
1080,0.47372
1081,0.41834
1082,0.35864
1083,0.60027
1084,1.44953
1085,3.56031
1086,5.79244
1087,4.02811
1088,2.68606
1089,1.32386
1090,1.272
1091,0.45543
1092,0.38376
1093,0.76886
1094,0.72676
1095,0.46017
1096,0.70007
1097,0.69923
1098,0.66639
1099,1.57829
1100,1.56368
1101,1.30988
1102,1.07214
1103,0.74037
1104,0.43947
1105,0.32683
1106,0.31829
1107,0.4488
1108,0.72614
1109,1.75255
1110,1.7179
1111,1.13351
1112,0.76461
1113,0.77646
1114,0.5963
1115,0.67953
1116,0.58896
1117,0.53738
1118,0.51686
1119,0.51858
1120,0.46082
1121,0.44438
1122,1.03921
1123,1.2754
1124,1.02144
1125,1.03006
1126,0.81385
1127,0.63171
1128,0.30422
1129,0.33345
1130,0.49196
1131,0.73825
1132,0.57796
1133,0.96374
1134,1.1066
1135,1.0158
1136,0.58513
1137,0.3844
1138,0.46232
1139,0.48907
1140,0.48318
1141,0.3895
1142,0.23608
1143,0.24639
1144,0.30158
1145,0.40718
1146,0.36272
1147,0.5165
1148,0.92113
1149,1.06602
1150,1.16451
1151,0.71893
1152,0.83564
1153,0.43205
1154,0.28226
1155,0.30797
1156,0.43883
1157,0.61975
1158,0.85835
1159,0.79495
1160,1.29273
1161,0.80256
1162,0.8014
1163,0.75923
1164,0.73317
1165,0.56345
1166,0.4411
1167,0.1952
1168,0.19806
1169,0.36467
1170,0.67882
1171,0.6117
1172,1.50959
1173,1.07529
1174,1.13175
1175,0.70977
1176,0.37924
1177,0.32086
1178,0.27839
1179,0.32801
1180,0.7048
1181,1.61235
1182,1.50322
1183,1.52834
1184,1.14166
1185,1.04802
1186,0.84241
1187,0.59475
1188,0.78816
1189,0.53843
1190,0.86185
1191,0.77334
1192,1.02643
1193,1.34475
1194,1.21743
1195,0.59588
1196,1.15399
1197,1.27084
1198,1.07763
1199,0.69954
1200,0.57191
1201,0.53145
1202,0.36746
1203,0.42033
1204,0.96639
1205,1.28171
1206,2.09009
1207,1.40861
1208,1.34719
1209,1.03889
1210,0.83345
1211,0.83096
1212,0.56713
1213,0.53772
1214,0.65674
1215,0.67129
1216,0.98124
1217,1.43225
1218,1.51457
1219,1.25865
1220,1.17455
1221,1.30253
1222,1.51981
1223,0.69283
1224,0.38921
1225,0.32741
1226,0.32684
1227,0.37564
1228,0.97406
1229,1.33334
1230,2.20205
1231,1.84907
1232,1.19942
1233,0.71809
1234,0.68252
