,Kennedy_CO_pmm
0,0.54205
1,0.64271
2,0.55955
3,0.52847
4,0.46232
5,0.48455
6,0.56774
7,0.54335
8,0.18183
9,0.17431
10,0.20206
11,0.21776
12,0.25968
13,0.3238
14,0.35709
15,0.36554
16,0.36611
17,0.41821
18,0.49033
19,0.46777
20,0.40773
21,0.37238
22,0.31764
23,0.33808
24,0.26199
25,0.19747
26,0.19478
27,0.21987
28,0.36333
29,0.9042
30,0.77384
31,0.75559
32,0.40064
33,0.35866
34,0.33178
35,0.2992
36,0.35065
37,0.36664
38,0.36825
39,0.39063
40,0.47939
41,0.62154
42,0.70058
43,0.69923
44,0.71621
45,0.64245
46,0.57596
47,0.40989
48,0.44798
49,0.45975
50,0.44284
51,0.4182
52,0.47492
53,0.62121
54,0.85034
55,1.01936
56,0.67257
57,0.52557
58,0.64426
59,0.441095
60,0.57872
61,0.48479
62,0.46952
63,0.53234
64,0.5253
65,0.7702
66,1.05063
67,0.83025
68,0.76444
69,0.84598
70,0.94934
71,0.79953
72,0.50357
73,0.43147
74,0.52533
75,0.48783
76,0.61699
77,0.99744
78,1.31014
79,1.56294
80,0.85894
81,1.02479
82,0.89345
83,0.51109
84,0.4381
85,0.44773
86,0.42691
87,0.47217
88,0.57927
89,0.84215
90,0.91631
91,0.90833
92,0.92344
93,0.91916
94,1.33625
95,1.21874
96,0.66279
97,0.60172
98,0.70176
99,0.61906
100,0.72867
101,1.35796
102,1.74428
103,2.07141
104,1.63349
105,1.19878
106,0.53561
107,0.43208
108,0.42313
109,0.36573
110,0.37573
111,0.33584
112,0.3349
113,0.36908
114,0.42892
115,0.57107
116,0.76412
117,0.65373
118,0.56802
119,0.45331
120,0.38436
121,0.42066
122,0.38301
123,0.53104
124,0.4211
125,0.54985
126,0.8939
127,0.73335
128,0.46734
129,0.37635
130,0.37347
131,0.35281
132,0.33731
133,0.32453
134,0.33124
135,0.34211
136,0.39808
137,0.42162
138,0.45751
139,0.46968
140,0.8031
141,0.59096
142,0.66742
143,0.7267
144,0.6638
145,0.57651
146,0.49749
147,0.44267
148,0.59725
149,0.61094
150,0.71935
151,1.09114
152,0.91124
153,0.88781
154,0.50774
155,0.31236
156,0.27047
157,0.29619
158,0.36032
159,0.35637
160,0.34274
161,0.4046
162,0.48062
163,0.42544
164,0.41911
165,0.62821
166,0.3723
167,0.24778
168,0.26749
169,0.28136
170,0.32083
171,0.30292
172,0.33685
173,0.60677
174,1.44712
175,2.314
176,1.57749
177,0.90328
178,0.42643
179,0.25061
180,0.30132
181,0.28788
182,0.29086
183,0.28663
184,0.32625
185,0.41739
186,0.48054
187,0.41364
188,0.37964
189,0.3657
190,0.3321
191,0.28404
192,0.2832
193,0.27994
194,0.31485
195,0.34976
196,0.8093
197,0.89589
198,0.92815
199,1.46816
200,1.07187
201,0.30997
202,0.28586
203,0.24974
204,0.45848
205,0.46688
206,0.4653
207,0.33049
208,0.36798
209,0.43642
210,0.54831
211,0.55511
212,0.47109
213,0.40008
214,0.3704
215,0.33668
216,0.26729
217,0.25407
218,0.25554
219,0.25893
220,0.29301
221,0.45849
222,0.60087
223,0.52873
224,0.4057
225,0.33782
226,0.28871
227,0.29544
228,0.31507
229,0.37073
230,0.40232
231,0.37313
232,0.4164
233,0.51893
234,0.58095
235,0.59423
236,0.53744
237,0.4484
238,0.37858
239,0.30674
240,0.2663
241,0.23071
242,0.23941
243,0.25668
244,0.31741
245,0.58032
246,1.05864
247,1.2776
248,0.99664
249,0.69991
250,0.59239
251,0.44852
252,0.46051
253,0.33687
254,0.32049
255,0.30258
256,0.30761
257,0.39649
258,0.52829
259,0.70068
260,1.01388
261,1.03256
262,1.09509
263,0.83122
264,0.64718
265,0.73642
266,0.89745
267,0.87489
268,0.76578
269,1.3119
270,1.20942
271,1.14167
