,Puente_Aranda_CO_pmm
0,0.64148
1,0.72851
2,0.95124
3,1.09451
4,1.15802
5,0.89904
6,1.03208
7,0.93685
8,0.73186
9,0.60842
10,0.45692
11,0.42717
12,0.4388
13,0.48199
14,0.58337
15,0.8403
16,0.8296
17,0.88646
18,0.96306
19,0.81717
20,0.86833
21,0.85007
22,0.93218
23,1.07847
24,0.81335
25,0.75784
26,0.7287
27,0.7845
28,0.90781
29,1.3474
30,1.68566
31,1.77881
32,1.59963
33,1.25055
34,1.06691
35,0.70022
36,0.6628
37,0.66457
38,0.72717
39,1.14502
40,1.11009
41,1.16679
42,1.00681
43,1.48682
44,1.53795
45,1.81129
46,1.95342
47,1.62013
48,1.54331
49,1.33962
50,1.1541
51,0.96169
52,0.88127
53,1.32777
54,2.46232
55,3.20166
56,2.28166
57,1.92351
58,1.0582
59,0.55021
60,0.58856
61,0.57246
62,0.5943
63,0.6525
64,0.69017
65,0.90187
66,1.18284
67,1.0923
68,0.91341
69,0.98447
70,1.52242
71,1.25272
72,0.93313
73,0.90464
74,0.84597
75,0.72101
76,1.02103
77,1.65329
78,2.17077
79,3.26881
80,3.03614
81,2.09758
82,1.22224
83,1.06737
84,0.99182
85,0.83719
86,0.84965
87,0.89945
88,0.89434
89,0.94335
90,1.00245
91,1.18851
92,1.19429
93,1.52134
94,1.67167
95,1.39451
96,1.38349
97,1.0778
98,1.34695
99,1.07612
100,1.18615
101,1.56883
102,2.15815
103,1.79017
104,1.46874
105,1.25274
106,1.03734
107,0.86782
108,1.11833
109,0.79297
110,0.91714
111,0.8812
112,0.90117
113,1.07963
114,1.17123
115,0.97932
116,0.80492
117,0.7922
118,0.65314
119,0.55183
120,0.5849
121,0.55114
122,0.52437
123,0.54155
124,0.58141
125,0.66212
126,0.80523
127,0.86175
128,1.07606
129,1.26975
130,1.05712
131,0.68919
132,0.52295
133,0.52275
134,0.52083
135,0.67524
136,0.71109
137,0.81082
138,1.00515
139,1.07982
140,0.9902
141,0.7573
142,0.78925
143,0.70382
144,0.76859
145,0.85557
146,1.20396
147,1.20629
148,1.10443
149,1.31426
150,1.73224
151,1.51625
152,1.48
153,1.06309
154,0.76726
155,0.8113
156,0.74401
157,0.59724
158,0.61653
159,0.60195
160,0.59217
161,0.70441
162,0.82508
163,0.88901
164,0.90949
165,0.73509
166,0.74113
167,0.70021
168,0.59874
169,0.59608
170,0.5706
171,0.55064
172,0.57616
173,0.74834
174,0.80136
175,0.70754
176,0.67355
177,0.73724
178,0.67939
179,0.65987
180,0.67175
181,0.62848
182,0.64655
183,0.71817
184,0.71094
185,0.71191
186,0.80164
187,0.98798
188,0.95594
189,0.78868
190,0.74293
191,0.84216
192,0.74098
193,0.64196
194,0.57509
195,0.5597
196,0.70657
197,1.25055
198,1.351
199,1.67781
200,1.42872
201,0.922
202,0.84399
203,0.73735
204,0.6775
205,0.76269
206,0.77241
207,0.82226
208,0.88164
209,0.99536
210,1.00235
211,1.44615
212,1.714
213,1.35776
214,1.16234
215,1.16475
216,0.81517
217,0.68391
218,0.56911
219,0.64358
220,0.65534
221,1.12562
222,1.9491
223,1.59889
224,1.4725
225,1.36285
226,1.20582
227,1.00282
228,0.794
229,0.91142
230,0.9037
231,0.78098
232,0.65117
233,0.66959
234,0.92899
235,1.12865
236,1.31979
237,1.39118
238,1.00626
239,0.88536
240,0.76455
241,0.69248
242,0.54795
243,0.60555
244,0.72381
245,1.02364
246,2.11734
247,1.79348
248,1.20903
249,0.69779
250,0.69886
251,0.7255
252,0.71579
253,0.67759
254,0.69266
255,0.72355
256,0.86807
257,1.12117
258,1.35718
259,1.32002
260,1.12648
261,0.90471
262,0.9538
263,0.68624
264,0.70938
265,0.74815
266,0.64607
267,0.60071
268,0.60275
269,0.96546
270,1.10451
271,1.47691
272,1.13859
273,0.66487
274,0.79947
275,0.82966
276,0.71292
277,0.69056
278,0.92354
279,0.87569
280,1.01328
281,1.05827
282,1.3074
283,1.62876
284,1.46183
285,1.42653
286,1.87583
287,1.05494
288,0.76472
289,0.66575
290,0.73925
291,0.81686
292,1.21211
293,1.17886
294,1.2119
295,1.24757
296,1.238
297,0.75274
298,0.73472
299,0.69336
300,0.9294
301,0.94122
302,1.07886
303,1.3414
304,1.1762
305,1.03828
306,1.09895
307,1.2959
308,1.15162
309,1.07935
310,1.20699
311,0.79383
312,0.93178
313,1.19838
314,0.82982
315,0.74046
316,0.84629
317,1.12536
318,1.00376
319,0.94106
320,0.97259
321,0.71393
322,0.70596
323,0.75169
324,0.90841
325,0.87851
326,0.88125
327,0.96608
