,Tunal_CO_pmm
0,0.56
1,0.91
2,0.65
3,0.66
4,0.91
5,0.98
6,1.09
7,0.8
8,0.55
9,0.27
10,0.25
11,0.22
12,0.19
13,0.13
14,0.07
15,0.17
16,0.15
17,0.15
18,0.25
19,0.34
20,0.53
21,0.75
22,0.47
23,0.33
24,0.32
25,0.13
26,0.29
27,0.34
28,0.23
29,0.52
30,0.91
31,1.11
32,0.8
33,0.6
34,0.34
35,0.34
36,0.35
37,0.37
38,0.39
39,0.27
40,0.95
41,1.04
42,1.23
43,1.02
44,0.69
45,0.46
46,0.32
47,0.48
48,0.78
49,0.71
50,0.42
51,0.27
52,0.31
53,0.48
54,0.78
55,1.09
56,1.3
57,0.65
58,0.38
59,0.22
60,0.22
61,0.2
62,0.19
63,0.15
64,0.14
65,0.28
66,0.3
67,0.25
68,0.29
69,0.37
70,0.4
71,0.27
72,0.23
73,0.18
74,0.19
75,0.22
76,0.25
77,0.55
78,0.82
79,0.76
80,1.5
81,1.34
82,1.0
83,0.91
84,0.54
85,0.47
86,0.39
87,0.51
88,0.99
89,1.02
90,1.44
91,1.3
92,1.04
93,0.68
94,0.53
95,0.39
96,0.26
97,0.24
98,0.25
99,0.25
100,0.33
101,0.49
102,0.74
103,0.82
104,0.6
105,0.71
106,0.7
107,0.71
108,0.64
109,0.5
110,0.5
111,0.56
112,0.59
113,0.64
114,0.72
115,0.87
116,0.82
117,0.82
118,0.6
119,0.43
120,0.32
121,0.27
122,0.27
123,0.28
124,0.36
125,0.54
126,0.67
127,0.73
128,0.6
129,0.66
130,0.5
131,0.58
132,0.5
133,0.41
134,0.41
135,0.46
136,0.58
137,0.59
138,0.61
139,0.8
140,0.84
141,0.65
142,0.45
143,0.56
144,0.4
145,0.35
146,0.31
147,0.32
148,0.35
149,0.35
150,0.4
151,0.6
152,0.97
153,0.63
154,0.45
155,0.35
156,0.37
157,0.36
158,0.39
159,0.37
160,0.37
161,0.48
162,0.6
163,0.65
164,0.63
165,0.33
166,0.49
167,0.26
168,0.24
169,0.25
170,0.24
171,0.24
172,0.29
173,0.42
174,0.4
175,0.37
176,0.29
177,0.34
178,0.32
179,0.26
180,0.36
181,0.36
182,0.38
183,0.46
184,0.45
185,0.55
186,0.63
187,0.4
188,0.35
189,0.33
190,0.39
191,0.41
192,0.34
193,0.32
194,0.27
195,0.32
196,0.32
197,0.48
198,0.94
199,0.94
200,0.41
201,0.4
202,0.53
203,0.43
204,0.43
205,0.48
206,0.87
207,0.8
208,0.62
209,0.77
210,0.95
211,1.48
212,1.67
213,1.39
214,0.78
215,0.51
216,0.58
217,0.54
218,0.45
219,0.4
220,0.45
221,0.58
222,0.84
223,0.83
224,0.93
225,0.59
226,0.51
227,0.54
228,0.63
229,0.36
230,0.42
231,0.53
232,0.47
233,0.56
234,0.76
235,1.04
236,0.93
237,0.44
238,0.45
239,0.4
240,0.44
241,0.45
242,0.28
243,0.29
244,0.37
245,0.67
246,1.37
247,1.18
248,0.71
249,0.36
250,0.33
251,0.37
252,0.35
253,0.21
254,0.18
255,0.16
256,0.2
257,0.29
258,0.31
259,0.34
260,0.33
261,0.29
262,0.35
263,0.29
264,0.27
265,0.24
266,0.26
267,0.28
268,0.34
269,0.38
270,0.51
271,0.51
272,0.43
273,0.31
274,0.27
275,0.33
276,0.42
277,0.35
278,0.39
279,0.31
280,0.3
281,0.32
282,0.38
283,0.43
284,0.34
285,0.36
286,0.73
287,0.7
288,0.45
289,0.36
290,0.35
291,0.45
292,0.44
293,0.62
294,0.95
295,1.13
296,0.66
297,0.37
298,0.32
299,0.34
300,0.62
301,0.78
302,0.68
303,0.87
304,0.76
305,0.85
306,0.73
307,0.77
308,0.99
309,0.86
310,0.73
311,0.65
312,0.8
313,0.5
314,0.44
315,0.47
316,0.58
317,0.67
318,0.71
319,0.61
320,0.65
321,0.73
322,0.68
323,0.54
324,0.84
325,0.54
326,0.6
327,0.62
328,0.61
329,0.92
330,0.73
331,0.76
332,1.24
333,1.92
334,1.88
335,1.24
336,0.66
337,0.57
338,0.95
339,0.83
340,0.87
341,1.66
342,2.5
343,2.12
344,1.75
345,1.44
346,0.97
347,0.61
348,0.35
349,0.42
350,0.68
351,0.57
352,0.67
353,0.78
354,1.06
355,1.42
356,1.13
357,1.05
358,0.54
359,0.35
360,0.3
361,0.27
362,0.27
363,0.4
364,0.59
365,0.6
366,1.01
367,0.74
368,0.37
369,0.52
370,0.38
371,0.36
372,0.31
373,0.36
374,0.27
375,0.32
376,0.35
377,0.42
378,0.38
379,0.42
380,0.39
381,0.35
382,0.36
383,0.32
384,0.32
385,0.27
386,0.26
387,0.27
388,0.32
389,0.44
390,0.54
391,0.42
392,0.37
393,0.38
394,0.32
395,0.35
396,0.32
397,0.541025
398,0.54948
399,0.59884
400,0.46521
401,0.633845
402,0.724815
403,0.74343
404,0.5600149999999999
405,0.5668599999999999
406,0.52315
407,0.42245
408,0.3876
409,0.37461500000000003
410,0.39697
411,0.40956000000000004
412,0.45289999999999997
413,0.686715
414,0.739045
415,0.79346
416,1.259625
417,0.814485
418,0.79
419,0.66737
420,0.57298
421,0.63893
422,0.600025
423,0.6466500000000001
424,0.639885
425,0.81288
426,0.917745
427,1.061515
428,1.00691
429,0.73834
430,0.568515
431,0.502205
432,0.440005
433,0.42691999999999997
434,0.41034499999999996
435,0.407555
436,0.50966
437,0.9801500000000001
438,1.61537
439,1.40693
440,1.22674
441,0.6715800000000001
442,0.510475
443,1.12
444,0.79
445,0.74
446,0.68
447,0.65
448,0.73
449,0.77
450,0.81
451,0.89
452,0.86
453,0.8
454,0.74
455,0.69
456,0.74
457,0.59
458,0.52
459,0.57
460,0.54
461,0.71
462,0.84
463,1.09
464,0.64
465,0.63
466,0.63
467,0.67
468,0.7
469,0.67
470,0.69
471,0.76
472,0.87
473,0.81
474,1.02
475,1.06
476,0.84
477,0.73
478,0.69
479,0.7
480,0.67
481,0.63
482,0.52
483,0.53
484,0.53
485,0.54
486,0.54
487,0.64
488,0.57
489,0.58
490,0.56
491,0.59
492,0.58
493,0.62
494,0.7
495,0.69
496,0.73
497,0.69
498,0.66
499,0.64
500,0.66
501,0.67
502,0.78
503,0.69
504,0.96
505,0.78
506,0.75
507,0.78
508,0.68
509,1.27
510,1.99
511,1.08
512,0.6
513,0.66
514,0.63
515,0.56
516,0.59
517,0.58
518,0.64
519,0.67
520,0.79
521,0.83
522,0.96
523,0.83
524,0.84
525,0.9
526,0.85
527,0.66
528,0.54
529,0.56
530,0.51
531,0.53
532,0.64
533,0.77
534,1.15
535,0.73
536,0.65
537,0.58
538,0.59
539,0.54
540,0.55
541,0.59
542,0.62
543,0.58
544,0.67
545,0.76
546,0.9
547,0.99
548,0.8
549,0.83
550,0.77
551,0.65
552,0.52
553,0.5
554,0.5
555,0.52
556,0.68
557,0.83
558,1.7
559,2.84
560,0.91
561,0.65
562,0.55
563,0.55
564,0.56
565,0.56
566,0.55
567,0.59
568,0.63
569,0.7
570,0.78
571,0.81
572,0.82
573,0.68
574,0.69
575,0.7
576,0.56
577,0.57
578,0.53
579,0.56
580,0.69
581,0.68
582,0.91
583,1.19
584,0.88
585,0.66
586,0.67
587,0.65
588,0.66
589,0.62
590,0.61
591,0.61
592,0.65
593,0.79
594,1.07
595,0.92
596,0.86
597,0.75
598,0.76
599,0.75
600,0.69
601,0.62
602,0.57
603,0.62
604,1.05
605,1.71
606,2.32
607,1.96
608,1.82
609,1.47
610,0.72
611,0.63
612,0.66
613,0.64
614,0.62
615,0.79
616,0.96
617,1.28
618,0.77
619,0.89
620,0.8
621,0.73
