,Usaquen_CO_pmm
0,0.5488
1,0.2946
2,0.2853
3,0.2569
4,0.2611
5,0.2748
6,0.2795
7,0.3241
8,0.2638
9,0.2457
10,0.2349
11,0.2378
12,0.2514
13,0.2571
14,0.2604
15,0.2615
16,0.2571
17,0.2639
18,0.2762
19,0.2666
20,0.2715
21,0.2642
22,0.2701
23,0.2641
24,0.2589
25,0.2641
26,0.2757
27,0.267
28,0.2742
29,0.3481
30,0.6324
31,0.5033
32,0.3411
33,0.3041
34,0.3487
35,0.3507
36,0.3042
37,0.2999
38,0.3048
39,0.3128
40,0.3405
41,0.4658
42,0.4864
43,0.5
44,0.4081
45,0.5119
46,0.3205
47,0.2987
48,0.2858
49,0.2779
50,0.2761
51,0.2731
52,0.2658
53,0.2897
54,0.3027
55,0.4134
56,0.2986
57,0.3922
58,0.3833
59,0.3774
60,0.4286
61,0.3852
62,0.3536
63,0.3736
64,0.3696
65,0.4134
66,0.4552
67,0.5218
68,0.4754
69,0.4827
70,0.4778
71,0.4422
72,0.3034
73,0.3323
74,0.3435
75,0.3305
76,0.4121
77,0.5514
78,0.7962
79,0.9258
80,0.7529
81,0.5871
82,0.5506
83,0.3875
84,0.3272
85,0.318
86,0.3219
87,0.3545
88,0.418
89,0.5443
90,0.5344
91,0.5309
92,0.6128
93,0.5255
94,0.5339
95,0.5461
96,0.5601
97,0.4992
98,0.4325
99,0.5069
100,0.5628
101,0.74
102,0.9048
103,0.7828
104,0.5959
105,0.5507
106,0.4785
107,0.3908
108,0.3492
109,0.3276
110,0.4229
111,0.4097
112,0.3906
113,0.2779
114,0.4331
115,0.6569
116,0.677
117,0.5697
118,0.5466
119,0.4501
120,0.5526
121,0.6688
122,0.6599
123,0.5756
124,0.4898
125,0.918
126,1.4297
127,1.0767
128,0.5064
129,0.2991
130,0.2004
131,0.1998
132,0.2503
133,0.25
134,0.2537
135,0.2572
136,0.5562
137,0.3577
138,0.3388
139,0.2919
140,0.5439
141,1.0503
142,0.8703
143,0.6622
144,0.4311
145,0.2567
146,0.2488
147,0.2297
148,0.2343
149,0.3161
150,0.5585
151,0.4658
152,0.3756
153,0.327
154,0.2898
155,0.2729
156,0.2944
157,0.291
158,0.3009
159,0.2769
160,0.2991
161,0.2961
162,0.3156
163,0.3314
164,0.6099
165,0.4074
166,0.5874
167,0.61
